pitcher_name,pitcher_id,game_date,season,team,opponent,strikeouts,innings_pitched,batters_faced,hits,walks,is_home,park_k_factor,days_rest,game_id
Gerrit Cole,10000,2023-03-30,2023,ATL,LAA,1,4.0,14,1,1,1,1.02,5,2023_10000_0
Gerrit Cole,10000,2023-04-04,2023,ATL,CIN,2,3.0,12,2,1,1,1.02,5,2023_10000_1
Gerrit Cole,10000,2023-04-14,2023,ATL,CLE,6,6.0,27,5,1,1,1.02,10,2023_10000_2
Gerrit Cole,10000,2023-05-04,2023,ATL,STL,0,3.0,16,4,0,1,1.02,20,2023_10000_3
Gerrit Cole,10000,2023-05-05,2023,ATL,NYY,1,4.3,18,4,1,0,0.99,1,2023_10000_4
Gerrit Cole,10000,2023-05-12,2023,ATL,WSN,3,6.7,29,7,4,1,1.02,7,2023_10000_5
Gerrit Cole,10000,2023-05-18,2023,ATL,CHC,3,6.3,26,6,3,1,1.02,6,2023_10000_6
Gerrit Cole,10000,2023-05-19,2023,ATL,WSN,8,6.0,22,5,2,0,1.01,1,2023_10000_7
Gerrit Cole,10000,2023-05-31,2023,ATL,SEA,3,7.0,27,6,2,1,1.02,12,2023_10000_8
Gerrit Cole,10000,2023-06-08,2023,ATL,OAK,0,5.0,23,7,1,0,1.0,8,2023_10000_9
Gerrit Cole,10000,2023-06-20,2023,ATL,SFG,7,5.7,27,6,3,1,1.02,12,2023_10000_10
Gerrit Cole,10000,2023-07-04,2023,ATL,PHI,5,4.7,21,4,2,0,1.01,14,2023_10000_11
Gerrit Cole,10000,2023-07-15,2023,ATL,BOS,4,5.7,21,3,1,0,0.98,11,2023_10000_12
Gerrit Cole,10000,2023-07-21,2023,ATL,SDP,2,6.0,21,6,2,1,1.02,6,2023_10000_13
Gerrit Cole,10000,2023-08-02,2023,ATL,LAD,1,5.3,20,5,1,1,1.02,12,2023_10000_14
Gerrit Cole,10000,2023-08-09,2023,ATL,CLE,3,3.7,12,2,1,1,1.02,7,2023_10000_15
Gerrit Cole,10000,2023-08-14,2023,ATL,KCR,4,3.0,16,5,0,1,1.02,5,2023_10000_16
Gerrit Cole,10000,2023-09-02,2023,ATL,DET,6,6.0,29,9,2,0,1.0,19,2023_10000_17
Gerrit Cole,10000,2023-09-03,2023,ATL,MIL,5,5.0,21,3,0,0,1.05,1,2023_10000_18
Gerrit Cole,10000,2023-09-08,2023,ATL,SFG,2,5.7,29,5,2,1,1.02,5,2023_10000_19
Gerrit Cole,10000,2023-09-10,2023,ATL,BOS,3,6.3,25,7,1,1,1.02,2,2023_10000_20
Gerrit Cole,10000,2023-09-13,2023,ATL,CHC,2,3.3,12,3,3,1,1.02,3,2023_10000_21
Gerrit Cole,10000,2023-09-21,2023,ATL,LAD,4,4.3,19,4,3,0,1.03,8,2023_10000_22
Gerrit Cole,10000,2023-09-25,2023,ATL,PIT,6,6.7,29,7,2,1,1.02,4,2023_10000_23
Max Scherzer,10001,2023-03-28,2023,ARI,STL,16,9.0,39,8,3,0,1.0,5,2023_10001_0
Max Scherzer,10001,2023-03-29,2023,ARI,CLE,10,8.3,37,7,5,1,1.03,1,2023_10001_1
Max Scherzer,10001,2023-04-17,2023,ARI,LAA,9,8.0,33,9,4,0,0.99,19,2023_10001_2
Max Scherzer,10001,2023-04-18,2023,ARI,MIA,18,6.7,28,7,2,1,1.03,1,2023_10001_3
Max Scherzer,10001,2023-04-27,2023,ARI,KCR,15,7.0,27,7,2,1,1.03,9,2023_10001_4
Max Scherzer,10001,2023-04-29,2023,ARI,PIT,11,7.3,29,9,2,0,1.0,2,2023_10001_5
Max Scherzer,10001,2023-05-14,2023,ARI,CHC,14,6.3,22,9,2,1,1.03,15,2023_10001_6
Max Scherzer,10001,2023-05-18,2023,ARI,MIA,15,6.7,29,7,2,1,1.03,4,2023_10001_7
Max Scherzer,10001,2023-05-25,2023,ARI,SDP,14,5.7,21,4,3,0,1.08,7,2023_10001_8
Max Scherzer,10001,2023-05-26,2023,ARI,HOU,6,5.3,20,4,2,1,1.03,1,2023_10001_9
Max Scherzer,10001,2023-05-28,2023,ARI,LAD,7,6.7,26,9,3,1,1.03,2,2023_10001_10
Max Scherzer,10001,2023-05-30,2023,ARI,CHC,7,7.0,33,8,2,1,1.03,2,2023_10001_11
Max Scherzer,10001,2023-05-31,2023,ARI,HOU,11,8.0,33,8,4,1,1.03,1,2023_10001_12
Max Scherzer,10001,2023-06-01,2023,ARI,BOS,9,9.0,39,9,3,1,1.03,1,2023_10001_13
Max Scherzer,10001,2023-06-13,2023,ARI,CHW,11,9.0,40,10,4,0,0.99,12,2023_10001_14
Max Scherzer,10001,2023-06-20,2023,ARI,HOU,14,8.3,34,11,5,1,1.03,7,2023_10001_15
Max Scherzer,10001,2023-06-22,2023,ARI,SDP,10,8.7,37,8,3,1,1.03,2,2023_10001_16
Max Scherzer,10001,2023-06-23,2023,ARI,TEX,13,7.3,31,6,4,0,0.99,1,2023_10001_17
Max Scherzer,10001,2023-06-27,2023,ARI,LAA,4,7.0,32,6,2,0,0.99,4,2023_10001_18
Max Scherzer,10001,2023-06-29,2023,ARI,MIL,13,7.0,26,7,1,0,1.05,2,2023_10001_19
Max Scherzer,10001,2023-07-01,2023,ARI,CLE,17,9.0,43,12,3,0,1.04,2,2023_10001_20
Max Scherzer,10001,2023-07-08,2023,ARI,CIN,4,6.7,28,5,3,0,1.0,7,2023_10001_21
Max Scherzer,10001,2023-07-10,2023,ARI,COL,8,8.3,37,8,2,0,0.92,2,2023_10001_22
Max Scherzer,10001,2023-07-12,2023,ARI,TOR,12,8.7,40,10,2,1,1.03,2,2023_10001_23
Max Scherzer,10001,2023-07-28,2023,ARI,PIT,4,5.7,28,5,2,1,1.03,16,2023_10001_24
Max Scherzer,10001,2023-08-06,2023,ARI,PIT,7,6.3,27,6,2,0,1.0,9,2023_10001_25
Max Scherzer,10001,2023-08-07,2023,ARI,CLE,3,6.7,28,5,2,1,1.03,1,2023_10001_26
Max Scherzer,10001,2023-08-10,2023,ARI,MIL,11,8.0,33,8,3,1,1.03,3,2023_10001_27
Max Scherzer,10001,2023-08-19,2023,ARI,TBR,4,7.3,29,6,3,0,1.05,9,2023_10001_28
Max Scherzer,10001,2023-08-21,2023,ARI,CHW,3,3.7,14,6,0,0,0.99,2,2023_10001_29
Max Scherzer,10001,2023-08-22,2023,ARI,TBR,8,6.0,25,6,3,0,1.05,1,2023_10001_30
Max Scherzer,10001,2023-08-30,2023,ARI,NYY,9,8.3,31,7,4,1,1.03,8,2023_10001_31
Max Scherzer,10001,2023-09-15,2023,ARI,PHI,8,7.7,31,7,3,0,1.01,16,2023_10001_32
Jacob deGrom,10002,2023-04-03,2023,TEX,TBR,6,5.7,24,9,2,0,1.05,5,2023_10002_0
Jacob deGrom,10002,2023-04-08,2023,TEX,SEA,2,3.0,12,5,0,0,1.04,5,2023_10002_1
Jacob deGrom,10002,2023-04-14,2023,TEX,STL,1,6.0,27,10,1,1,0.99,6,2023_10002_2
Jacob deGrom,10002,2023-05-08,2023,TEX,PHI,4,6.7,28,5,1,0,1.01,24,2023_10002_3
Jacob deGrom,10002,2023-05-16,2023,TEX,BAL,6,6.0,25,7,3,0,1.0,8,2023_10002_4
Jacob deGrom,10002,2023-05-18,2023,TEX,ATL,2,5.7,23,7,3,1,0.99,2,2023_10002_5
Jacob deGrom,10002,2023-06-06,2023,TEX,BAL,5,3.7,17,4,1,0,1.0,19,2023_10002_6
Jacob deGrom,10002,2023-06-18,2023,TEX,MIA,2,3.7,12,3,2,1,0.99,12,2023_10002_7
Jacob deGrom,10002,2023-06-22,2023,TEX,COL,3,7.3,33,9,2,0,0.92,4,2023_10002_8
Jacob deGrom,10002,2023-06-29,2023,TEX,MIA,2,5.7,22,7,3,0,0.98,7,2023_10002_9
